id, x, y
1,-1.2161391441472298,-0.4046222412324689,
3,-0.9118043599316158,3.816628866646586,
7,2.4324612927985827,3.649992616987507,
8,1.2575264542745455,1.198026987994361,
9,3.163155516862388,2.168774921082691,
12,-0.47348455462684336,1.3971696714880295,
21,-1.737377081317141,1.9091726498835357,
39,0.3584007673733056,0.11150230629555782,

current id, accessible id, distance
start,1,[1.28168388],
start,12,[1.47521887],
start,21,[2.58135998],
1,39,[1.21667085],
1,12,[1.62888773],
1,21,[2.3488894],
39,1,[1.22517442],
39,12,[1.54712343],
39,21,[2.71155335],
12,39,[1.08197741],
12,8,[1.62637837],
12,1,[1.66800289],
12,21,[1.79094273],
8,1,[2.57885035],
8,3,[3.29777656],
3,7,[2.74719451],
3,8,[3.10414606],
3,1,[3.78051421],
3,9,[3.86615913],
